fips,state,county,party,candidatevotes
1095,Alabama,Marshall,Democrat,5943
1095,Alabama,Marshall,Other,521
1095,Alabama,Marshall,Republican,33191
1097,Alabama,Mobile,Democrat,79474
1097,Alabama,Mobile,Other,2447
1097,Alabama,Mobile,Republican,101243
1099,Alabama,Monroe,Democrat,4455
1099,Alabama,Monroe,Other,66
1099,Alabama,Monroe,Republican,6147
1101,Alabama,Montgomery,Democrat,64529
1101,Alabama,Montgomery,Other,1299
1101,Alabama,Montgomery,Republican,33311
1103,Alabama,Morgan,Democrat,13234
1103,Alabama,Morgan,Other,824
1103,Alabama,Morgan,Republican,39664
1105,Alabama,Perry,Democrat,3860
1105,Alabama,Perry,Other,31
1105,Alabama,Perry,Republican,1339
1107,Alabama,Pickens,Democrat,4022
1107,Alabama,Pickens,Other,52
1107,Alabama,Pickens,Republican,5594
1109,Alabama,Pike,Democrat,5636
1109,Alabama,Pike,Other,163
1109,Alabama,Pike,Republican,8042
1111,Alabama,Randolph,Democrat,2203
1111,Alabama,Randolph,Other,75
1111,Alabama,Randolph,Republican,8559
1113,Alabama,Russell,Democrat,11228
1113,Alabama,Russell,Other,237
1113,Alabama,Russell,Republican,9864
1115,Alabama,St. Clair,Democrat,7744
1115,Alabama,St. Clair,Other,531
1115,Alabama,St. Clair,Republican,36166
1117,Alabama,Shelby,Democrat,33268
1117,Alabama,Shelby,Other,1982
1117,Alabama,Shelby,Republican,79700
1119,Alabama,Sumter,Democrat,4648
1119,Alabama,Sumter,Other,45
1119,Alabama,Sumter,Republican,1598
1121,Alabama,Talladega,Democrat,13138
1121,Alabama,Talladega,Other,290
1121,Alabama,Talladega,Republican,22235
1123,Alabama,Tallapoosa,Democrat,5859
1123,Alabama,Tallapoosa,Other,169
1123,Alabama,Tallapoosa,Republican,14963
1125,Alabama,Tuscaloosa,Democrat,37765
1125,Alabama,Tuscaloosa,Other,1290
1125,Alabama,Tuscaloosa,Republican,51117
1127,Alabama,Walker,Democrat,4834
1127,Alabama,Walker,Other,334
1127,Alabama,Walker,Republican,26002
1129,Alabama,Washington,Democrat,2258
1129,Alabama,Washington,Other,54
1129,Alabama,Washington,Republican,6564
1131,Alabama,Wilcox,Democrat,4048
1131,Alabama,Wilcox,Other,22
1131,Alabama,Wilcox,Republican,1833
1133,Alabama,Winston,Democrat,974
1133,Alabama,Winston,Other,115
1133,Alabama,Winston,Republican,10195
2001,Alaska,District 1,Democrat,3477
2001,Alaska,District 1,Green,50
2001,Alaska,District 1,Libertarian,216
2001,Alaska,District 1,Other,60
2001,Alaska,District 1,Republican,3511
2002,Alaska,District 2,Democrat,2104
2002,Alaska,District 2,Green,30
2002,Alaska,District 2,Libertarian,287
2002,Alaska,District 2,Other,41
2002,Alaska,District 2,Republican,3674
2003,Alaska,District 3,Democrat,1903
2003,Alaska,District 3,Green,42
2003,Alaska,District 3,Libertarian,316
2003,Alaska,District 3,Other,48
2003,Alaska,District 3,Republican,6076
2004,Alaska,District 4,Democrat,5345
2004,Alaska,District 4,Green,93
2004,Alaska,District 4,Libertarian,323
2004,Alaska,District 4,Other,60
2004,Alaska,District 4,Republican,4690
2005,Alaska,District 5,Democrat,4204
2005,Alaska,District 5,Green,68
2005,Alaska,District 5,Libertarian,259
2005,Alaska,District 5,Other,46
2005,Alaska,District 5,Republican,4077
2006,Alaska,District 6,Democrat,3272
2006,Alaska,District 6,Green,83
2006,Alaska,District 6,Libertarian,266
2006,Alaska,District 6,Other,69
2006,Alaska,District 6,Republican,5770
2007,Alaska,District 7,Democrat,2215
2007,Alaska,District 7,Green,54
2007,Alaska,District 7,Libertarian,272
2007,Alaska,District 7,Other,54
2007,Alaska,District 7,Republican,7027
2008,Alaska,District 8,Democrat,1953
2008,Alaska,District 8,Green,48
2008,Alaska,District 8,Libertarian,241
2008,Alaska,District 8,Other,52
2008,Alaska,District 8,Republican,7618
2009,Alaska,District 9,Democrat,2769
2009,Alaska,District 9,Green,77
2009,Alaska,District 9,Libertarian,301
2009,Alaska,District 9,Other,59
2009,Alaska,District 9,Republican,7787
2010,Alaska,District 10,Democrat,2727
2010,Alaska,District 10,Green,64
2010,Alaska,District 10,Libertarian,286
2010,Alaska,District 10,Other,47
2010,Alaska,District 10,Republican,8081
2011,Alaska,District 11,Democrat,3130
2011,Alaska,District 11,Green,88
2011,Alaska,District 11,Libertarian,269
2011,Alaska,District 11,Other,45
2011,Alaska,District 11,Republican,7096
2012,Alaska,District 12,Democrat,2957
2012,Alaska,District 12,Green,54
2012,Alaska,District 12,Libertarian,288
2012,Alaska,District 12,Other,46
2012,Alaska,District 12,Republican,7893
2013,Alaska,District 13,Democrat,2666
2013,Alaska,District 13,Green,40
2013,Alaska,District 13,Libertarian,308
2013,Alaska,District 13,Other,47
2013,Alaska,District 13,Republican,4652
2014,Alaska,District 14,Democrat,4261
2014,Alaska,District 14,Green,50
2014,Alaska,District 14,Libertarian,356
2014,Alaska,District 14,Other,62
2014,Alaska,District 14,Republican,6714
2015,Alaska,District 15,Democrat,2622
2015,Alaska,District 15,Green,36
2015,Alaska,District 15,Libertarian,197
2015,Alaska,District 15,Other,33
2015,Alaska,District 15,Republican,2671
2016,Alaska,District 16,Democrat,4274
2016,Alaska,District 16,Green,64
2016,Alaska,District 16,Libertarian,210
2016,Alaska,District 16,Other,54
2016,Alaska,District 16,Republican,3516
2017,Alaska,District 17,Democrat,4136
2017,Alaska,District 17,Green,64
2017,Alaska,District 17,Libertarian,184
2017,Alaska,District 17,Other,45
2017,Alaska,District 17,Republican,2810
2018,Alaska,District 18,Democrat,4681
2018,Alaska,District 18,Green,79
2018,Alaska,District 18,Libertarian,157
2018,Alaska,District 18,Other,43
2018,Alaska,District 18,Republican,2760
2019,Alaska,District 19,Democrat,3118
2019,Alaska,District 19,Green,52
2019,Alaska,District 19,Libertarian,110
2019,Alaska,District 19,Other,46
2019,Alaska,District 19,Republican,1975
2020,Alaska,District 20,Democrat,4881
2020,Alaska,District 20,Green,53
2020,Alaska,District 20,Libertarian,153
2020,Alaska,District 20,Other,27
2020,Alaska,District 20,Republican,2383
2021,Alaska,District 21,Democrat,5414
2021,Alaska,District 21,Green,70
2021,Alaska,District 21,Libertarian,203
2021,Alaska,District 21,Other,52
2021,Alaska,District 21,Republican,3690
2022,Alaska,District 22,Democrat,4553
2022,Alaska,District 22,Green,46
2022,Alaska,District 22,Libertarian,200
2022,Alaska,District 22,Other,37
2022,Alaska,District 22,Republican,4684
2023,Alaska,District 23,Democrat,3810
2023,Alaska,District 23,Green,53
2023,Alaska,District 23,Libertarian,170
2023,Alaska,District 23,Other,51
2023,Alaska,District 23,Republican,3655
2024,Alaska,District 24,Democrat,4736
2024,Alaska,District 24,Green,46
2024,Alaska,District 24,Libertarian,222
2024,Alaska,District 24,Other,46
2024,Alaska,District 24,Republican,5378
2025,Alaska,District 25,Democrat,4600
2025,Alaska,District 25,Green,67
2025,Alaska,District 25,Libertarian,201
2025,Alaska,District 25,Other,50
2025,Alaska,District 25,Republican,4407
2026,Alaska,District 26,Democrat,4558
2026,Alaska,District 26,Green,55
2026,Alaska,District 26,Libertarian,207
2026,Alaska,District 26,Other,48
2026,Alaska,District 26,Republican,5243
2027,Alaska,District 27,Democrat,4844
2027,Alaska,District 27,Green,59
2027,Alaska,District 27,Libertarian,228
2027,Alaska,District 27,Other,51
2027,Alaska,District 27,Republican,4324
2028,Alaska,District 28,Democrat,6264
2028,Alaska,District 28,Green,69
2028,Alaska,District 28,Libertarian,219
2028,Alaska,District 28,Other,35
2028,Alaska,District 28,Republican,6162
2029,Alaska,District 29,Democrat,2985
2029,Alaska,District 29,Green,69
2029,Alaska,District 29,Libertarian,190
2029,Alaska,District 29,Other,39
2029,Alaska,District 29,Republican,7464
2030,Alaska,District 30,Democrat,2638
2030,Alaska,District 30,Green,42
2030,Alaska,District 30,Libertarian,270
2030,Alaska,District 30,Other,46
2030,Alaska,District 30,Republican,7180
2031,Alaska,District 31,Democrat,5037
2031,Alaska,District 31,Green,100
2031,Alaska,District 31,Libertarian,250
2031,Alaska,District 31,Other,52
2031,Alaska,District 31,Republican,6971
2032,Alaska,District 32,Democrat,3506
2032,Alaska,District 32,Green,105
2032,Alaska,District 32,Libertarian,238
2032,Alaska,District 32,Other,46
2032,Alaska,District 32,Republican,4440
2033,Alaska,District 33,Democrat,7535
2033,Alaska,District 33,Green,103
2033,Alaska,District 33,Libertarian,197
2033,Alaska,District 33,Other,61
2033,Alaska,District 33,Republican,3059
2034,Alaska,District 34,Democrat,5763
2034,Alaska,District 34,Green,68
2034,Alaska,District 34,Libertarian,279
2034,Alaska,District 34,Other,76
2034,Alaska,District 34,Republican,4543
2035,Alaska,District 35,Democrat,5011
2035,Alaska,District 35,Green,95
2035,Alaska,District 35,Libertarian,170
2035,Alaska,District 35,Other,57
2035,Alaska,District 35,Republican,4769
2036,Alaska,District 36,Democrat,3796
2036,Alaska,District 36,Green,79
2036,Alaska,District 36,Libertarian,245
2036,Alaska,District 36,Other,58
2036,Alaska,District 36,Republican,5114
2037,Alaska,District 37,Democrat,2560
2037,Alaska,District 37,Green,56
2037,Alaska,District 37,Libertarian,86
2037,Alaska,District 37,Other,82
2037,Alaska,District 37,Republican,2358
2038,Alaska,District 38,Democrat,3202
2038,Alaska,District 38,Green,112
2038,Alaska,District 38,Libertarian,105
2038,Alaska,District 38,Other,143
2038,Alaska,District 38,Republican,1737
2039,Alaska,District 39,Democrat,3580
2039,Alaska,District 39,Green,104
2039,Alaska,District 39,Libertarian,123
2039,Alaska,District 39,Other,145
2039,Alaska,District 39,Republican,1939
2040,Alaska,District 40,Democrat,2318
2040,Alaska,District 40,Green,86
2040,Alaska,District 40,Libertarian,94
2040,Alaska,District 40,Other,111
2040,Alaska,District 40,Republican,1994
2099,Alaska,District 99,Democrat,373
2099,Alaska,District 99,Green,0
2099,Alaska,District 99,Libertarian,1
2099,Alaska,District 99,Other,0
2099,Alaska,District 99,Republican,59
6001,California,Alameda,Democrat,617659
6001,California,Alameda,Green,4664
6001,California,Alameda,Libertarian,6295
6001,California,Alameda,Other,5143
6001,California,Alameda,Republican,136309
6003,California,Alpine,Democrat,476
6003,California,Alpine,Green,4
6003,California,Alpine,Libertarian,15
6003,California,Alpine,Other,2
6003,California,Alpine,Republican,244
6005,California,Amador,Democrat,8153
6005,California,Amador,Green,110
6005,California,Amador,Libertarian,349
6005,California,Amador,Other,107
6005,California,Amador,Republican,13585
6007,California,Butte,Democrat,50426
6007,California,Butte,Green,507
6007,California,Butte,Libertarian,1774
6007,California,Butte,Other,629
6007,California,Butte,Republican,48730
6009,California,Calaveras,Democrat,10046
6009,California,Calaveras,Green,125
6009,California,Calaveras,Libertarian,359
6009,California,Calaveras,Other,116
6009,California,Calaveras,Republican,16518
6011,California,Colusa,Democrat,3239
6011,California,Colusa,Green,25
6011,California,Colusa,Libertarian,81
6011,California,Colusa,Other,57
6011,California,Colusa,Republican,4559
6013,California,Contra Costa,Democrat,416386
6013,California,Contra Costa,Green,2618
6013,California,Contra Costa,Libertarian,6116
6013,California,Contra Costa,Other,3319
6013,California,Contra Costa,Republican,152877
6015,California,Del Norte,Democrat,4677
6015,California,Del Norte,Green,78
6015,California,Del Norte,Libertarian,150
6015,California,Del Norte,Other,87
6015,California,Del Norte,Republican,6461
6017,California,El Dorado,Democrat,51621
6017,California,El Dorado,Green,460
6017,California,El Dorado,Libertarian,1871
6017,California,El Dorado,Other,369
6017,California,El Dorado,Republican,61838
6019,California,Fresno,Democrat,193025
6019,California,Fresno,Green,1474
6019,California,Fresno,Libertarian,4031
6019,California,Fresno,Other,1923
6019,California,Fresno,Republican,164464
6021,California,Glenn,Democrat,3995
6021,California,Glenn,Green,34
6021,California,Glenn,Libertarian,128
6021,California,Glenn,Other,77
6021,California,Glenn,Republican,7063
6023,California,Humboldt,Democrat,44768
6023,California,Humboldt,Green,625
6023,California,Humboldt,Libertarian,1132
6023,California,Humboldt,Other,548
6023,California,Humboldt,Republican,21770
6025,California,Imperial,Democrat,34678
6025,California,Imperial,Green,234
6025,California,Imperial,Libertarian,390
6025,California,Imperial,Other,594
6025,California,Imperial,Republican,20847
6027,California,Inyo,Democrat,4634
6027,California,Inyo,Green,45
6027,California,Inyo,Libertarian,128
6027,California,Inyo,Other,57
6027,California,Inyo,Republican,4620
6029,California,Kern,Democrat,133366
6029,California,Kern,Green,1074
6029,California,Kern,Libertarian,3942
6029,California,Kern,Other,2426
6029,California,Kern,Republican,164484
6031,California,Kings,Democrat,18699
6031,California,Kings,Green,125
6031,California,Kings,Libertarian,604
6031,California,Kings,Other,361
6031,California,Kings,Republican,24072
6033,California,Lake,Democrat,14941
6033,California,Lake,Green,207
6033,California,Lake,Libertarian,374
6033,California,Lake,Other,167
6033,California,Lake,Republican,13123
6035,California,Lassen,Democrat,2799
6035,California,Lassen,Green,31
6035,California,Lassen,Libertarian,141
6035,California,Lassen,Other,46
6035,California,Lassen,Republican,8970
6037,California,Los Angeles,Democrat,3028885
6037,California,Los Angeles,Green,21660
6037,California,Los Angeles,Libertarian,35452
6037,California,Los Angeles,Other,32838
6037,California,Los Angeles,Republican,1145530
6039,California,Madera,Democrat,23168
6039,California,Madera,Green,217
6039,California,Madera,Libertarian,621
6039,California,Madera,Other,348
6039,California,Madera,Republican,29378
6041,California,Marin,Democrat,128288
6041,California,Marin,Green,724
6041,California,Marin,Libertarian,1536
6041,California,Marin,Other,670
6041,California,Marin,Republican,24612
6043,California,Mariposa,Democrat,4088
6043,California,Mariposa,Green,39
6043,California,Mariposa,Libertarian,155
6043,California,Mariposa,Other,48
6043,California,Mariposa,Republican,5950
6045,California,Mendocino,Democrat,28782
6045,California,Mendocino,Green,394
6045,California,Mendocino,Libertarian,591
6045,California,Mendocino,Other,306
6045,California,Mendocino,Republican,13267
6047,California,Merced,Democrat,48991
6047,California,Merced,Green,388
6047,California,Merced,Libertarian,941
6047,California,Merced,Other,837
6047,California,Merced,Republican,39397
6049,California,Modoc,Democrat,1150
6049,California,Modoc,Green,15
6049,California,Modoc,Libertarian,39
6049,California,Modoc,Other,30
6049,California,Modoc,Republican,3109
6051,California,Mono,Democrat,4013
6051,California,Mono,Green,42
6051,California,Mono,Libertarian,126
6051,California,Mono,Other,44
6051,California,Mono,Republican,2513
6053,California,Monterey,Democrat,113953
6053,California,Monterey,Green,749
6053,California,Monterey,Libertarian,1820
6053,California,Monterey,Other,1102
6053,California,Monterey,Republican,46299
6055,California,Napa,Democrat,49817
6055,California,Napa,Green,310
6055,California,Napa,Libertarian,914
6055,California,Napa,Other,433
6055,California,Napa,Republican,20676
6057,California,Nevada,Democrat,36359
6057,California,Nevada,Green,345
6057,California,Nevada,Libertarian,919
6057,California,Nevada,Other,348
6057,California,Nevada,Republican,26779
6059,California,Orange,Democrat,814009
6059,California,Orange,Green,5819
6059,California,Orange,Libertarian,17325
6059,California,Orange,Other,8462
6059,California,Orange,Republican,676498
6061,California,Placer,Democrat,106869
6061,California,Placer,Green,779
6061,California,Placer,Libertarian,3948
6061,California,Placer,Other,1000
6061,California,Placer,Republican,122488
6063,California,Plumas,Democrat,4561
6063,California,Plumas,Green,39
6063,California,Plumas,Libertarian,153
6063,California,Plumas,Other,62
6063,California,Plumas,Republican,6445
6065,California,Riverside,Democrat,528340
6065,California,Riverside,Green,3372
6065,California,Riverside,Libertarian,9970
6065,California,Riverside,Other,6330
6065,California,Riverside,Republican,449144
6067,California,Sacramento,Democrat,440808
6067,California,Sacramento,Green,3254
6067,California,Sacramento,Libertarian,9770
6067,California,Sacramento,Other,5203
6067,California,Sacramento,Republican,259405
6069,California,San Benito,Democrat,17628
6069,California,San Benito,Green,91
6069,California,San Benito,Libertarian,345
6069,California,San Benito,Other,176
6069,California,San Benito,Republican,10590
6071,California,San Bernardino,Democrat,455859
6071,California,San Bernardino,Green,3619
6071,California,San Bernardino,Libertarian,8791
6071,California,San Bernardino,Other,6604
6071,California,San Bernardino,Republican,366257
6073,California,San Diego,Democrat,964650
6073,California,San Diego,Green,7421
6073,California,San Diego,Libertarian,21386
6073,California,San Diego,Other,8592
6073,California,San Diego,Republican,600094
6075,California,San Francisco,Democrat,378156
6075,California,San Francisco,Green,2781
6075,California,San Francisco,Libertarian,3299
6075,California,San Francisco,Other,2900
6075,California,San Francisco,Republican,56417
6077,California,San Joaquin,Democrat,161137
6077,California,San Joaquin,Green,1064
6077,California,San Joaquin,Libertarian,2929
6077,California,San Joaquin,Other,2264
6077,California,San Joaquin,Republican,121098
6079,California,San Luis Obispo,Democrat,88310
6079,California,San Luis Obispo,Green,794
6079,California,San Luis Obispo,Libertarian,2408
6079,California,San Luis Obispo,Other,766
6079,California,San Luis Obispo,Republican,67436
6081,California,San Mateo,Democrat,291496
6081,California,San Mateo,Green,1595
6081,California,San Mateo,Libertarian,3554
6081,California,San Mateo,Other,2022
6081,California,San Mateo,Republican,75584
6083,California,Santa Barbara,Democrat,129963
6083,California,Santa Barbara,Green,939
6083,California,Santa Barbara,Libertarian,2416
6083,California,Santa Barbara,Other,1285
6083,California,Santa Barbara,Republican,65736
6085,California,Santa Clara,Democrat,617967
6085,California,Santa Clara,Green,4040
6085,California,Santa Clara,Libertarian,9131
6085,California,Santa Clara,Other,4991
6085,California,Santa Clara,Republican,214612
6087,California,Santa Cruz,Democrat,114246
6087,California,Santa Cruz,Green,1062
6087,California,Santa Cruz,Libertarian,1704
6087,California,Santa Cruz,Other,888
6087,California,Santa Cruz,Republican,26937
6089,California,Shasta,Democrat,30000
6089,California,Shasta,Green,368
6089,California,Shasta,Libertarian,1277
6089,California,Shasta,Other,496
6089,California,Shasta,Republican,60789
6091,California,Sierra,Democrat,730
6091,California,Sierra,Green,13
6091,California,Sierra,Libertarian,27
6091,California,Sierra,Other,19
6091,California,Sierra,Republican,1142
6093,California,Siskiyou,Democrat,9593
6093,California,Siskiyou,Green,116
6093,California,Siskiyou,Libertarian,318
6093,California,Siskiyou,Other,155
6093,California,Siskiyou,Republican,13290
6095,California,Solano,Democrat,131639
6095,California,Solano,Green,958
6095,California,Solano,Libertarian,2475
6095,California,Solano,Other,1499
6095,California,Solano,Republican,69306
6097,California,Sonoma,Democrat,199938
6097,California,Sonoma,Green,1499
6097,California,Sonoma,Libertarian,3418
6097,California,Sonoma,Other,1637
6097,California,Sonoma,Republican,61825
6099,California,Stanislaus,Democrat,105841
6099,California,Stanislaus,Green,742
6099,California,Stanislaus,Libertarian,2494
6099,California,Stanislaus,Other,1732
6099,California,Stanislaus,Republican,104145
6101,California,Sutter,Democrat,17367
6101,California,Sutter,Green,136
6101,California,Sutter,Libertarian,521
6101,California,Sutter,Other,245
6101,California,Sutter,Republican,24375
6103,California,Tehama,Democrat,8911
6103,California,Tehama,Green,90
6103,California,Tehama,Libertarian,403
6103,California,Tehama,Other,186
6103,California,Tehama,Republican,19141
6105,California,Trinity,Democrat,2851
6105,California,Trinity,Green,50
6105,California,Trinity,Libertarian,117
6105,California,Trinity,Other,53
6105,California,Trinity,Republican,3188
6107,California,Tulare,Democrat,66105
6107,California,Tulare,Green,483
6107,California,Tulare,Libertarian,1498
6107,California,Tulare,Other,1220
6107,California,Tulare,Republican,77579
6109,California,Tuolumne,Democrat,11978
6109,California,Tuolumne,Green,145
6109,California,Tuolumne,Libertarian,439
6109,California,Tuolumne,Other,157
6109,California,Tuolumne,Republican,17689
6111,California,Ventura,Democrat,251388
6111,California,Ventura,Green,1766
6111,California,Ventura,Libertarian,5069
6111,California,Ventura,Other,2395
6111,California,Ventura,Republican,162207
6113,California,Yolo,Democrat,67598
6113,California,Yolo,Green,547
6113,California,Yolo,Libertarian,1206
6113,California,Yolo,Other,651
6113,California,Yolo,Republican,27292
6115,California,Yuba,Democrat,11230
6115,California,Yuba,Green,124
6115,California,Yuba,Libertarian,510
6115,California,Yuba,Other,256
6115,California,Yuba,Republican,17676
8001,Colorado,Adams,Democrat,134202
8001,Colorado,Adams,Green,744
8001,Colorado,Adams,Libertarian,3731
8001,Colorado,Adams,Other,2406
8001,Colorado,Adams,Republican,95657
8003,Colorado,Alamosa,Democrat,3759
8003,Colorado,Alamosa,Green,23
8003,Colorado,Alamosa,Libertarian,90
8003,Colorado,Alamosa,Other,123
8003,Colorado,Alamosa,Republican,3813
8005,Colorado,Arapahoe,Democrat,213607
8005,Colorado,Arapahoe,Green,926
8005,Colorado,Arapahoe,Libertarian,5423
8005,Colorado,Arapahoe,Other,2904
8005,Colorado,Arapahoe,Republican,127323
8007,Colorado,Archuleta,Democrat,3738
8007,Colorado,Archuleta,Green,19
8007,Colorado,Archuleta,Libertarian,120
8007,Colorado,Archuleta,Other,78
8007,Colorado,Archuleta,Republican,5189
8009,Colorado,Baca,Democrat,317
8009,Colorado,Baca,Green,3
8009,Colorado,Baca,Libertarian,26
8009,Colorado,Baca,Other,12
8009,Colorado,Baca,Republican,1867
8011,Colorado,Bent,Democrat,732
8011,Colorado,Bent,Green,6
8011,Colorado,Bent,Libertarian,15
8011,Colorado,Bent,Other,18
8011,Colorado,Bent,Republican,1503
8013,Colorado,Boulder,Democrat,159089
8013,Colorado,Boulder,Green,697
8013,Colorado,Boulder,Libertarian,2539
8013,Colorado,Boulder,Other,1285
8013,Colorado,Boulder,Republican,42501
8014,Colorado,Broomfield,Democrat,29077
8014,Colorado,Broomfield,Green,104
8014,Colorado,Broomfield,Libertarian,772
8014,Colorado,Broomfield,Other,384
8014,Colorado,Broomfield,Republican,16295
8015,Colorado,Chaffee,Democrat,7160
8015,Colorado,Chaffee,Green,46
8015,Colorado,Chaffee,Libertarian,189
8015,Colorado,Chaffee,Other,101
8015,Colorado,Chaffee,Republican,6222
8017,Colorado,Cheyenne,Democrat,131
8017,Colorado,Cheyenne,Green,0
8017,Colorado,Cheyenne,Libertarian,6
8017,Colorado,Cheyenne,Other,6
8017,Colorado,Cheyenne,Republican,993
8019,Colorado,Clear Creek,Democrat,3604
8019,Colorado,Clear Creek,Green,23
8019,Colorado,Clear Creek,Libertarian,113
8019,Colorado,Clear Creek,Other,54
8019,Colorado,Clear Creek,Republican,2754
8021,Colorado,Conejos,Democrat,1959
8021,Colorado,Conejos,Green,9
8021,Colorado,Conejos,Libertarian,34
