fips,state,county,nonwhite_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,lesscollege_pct
1001,Alabama,Autauga,24.3165180112264,51.1762248178895,40.0370578938764,13.9784555577758,53099,75.4072286513465
1003,Alabama,Baldwin,16.8212119693248,51.1949275725528,35.4744123101599,18.7148513858954,51365,70.4528889714604
1005,Alabama,Barbour,54.1143758923875,46.4980837153378,37.6643871646502,16.5288945667694,33956,87.1322129765595
1007,Alabama,Bibb,25.2348041821726,46.4646464646465,37.3294346978558,14.8856990962254,39776,88
1009,Alabama,Blount,12.3422986274782,50.4852349923749,37.2400526826563,17.1929155691113,46212,86.950243210377
1011,Alabama,Bullock,78.316906747536,45.8017437452616,37.9359363153904,15.1345716451857,29335,89.744988408564
1013,Alabama,Butler,47.2189349112426,53.0473372781065,37.0562130177515,18.1262327416174,34315,83.9199942648219
1015,Alabama,Calhoun,27.0022350129009,51.8980350871137,38.7830829371004,15.9307232294642,41954,82.3470334727502
1017,Alabama,Chambers,43.2565112587454,52.0871303427597,35.8721853136575,18.387324357693,36027,87.515720633856
1019,Alabama,Cherokee,8.12835463567208,50.2529250492335,32.7103525504885,20.3228173147469,38925,86.0383010591634
1021,Alabama,Chilton,19.3897345779036,50.7976356208777,38.8342424173266,15.2497888947212,42594,85.1454514881453
1023,Alabama,Choctaw,43.7946865357116,52.2164521712953,33.4010687137804,20.7496048769474,32622,88.0397967823878
1025,Alabama,Clarke,46.8225540306677,52.7588843723588,36.6040165814786,18.0625427617016,32735,87.8627658324521
1027,Alabama,Clay,19.7359638062746,51.5538084995921,34.8438774753393,19.4022101906104,38815,88.9371162396782
1029,Alabama,Cleburne,7.20432259355613,50.4836235074378,36.1416850110066,18.1642318724568,36316,88.4719274551418
1031,Alabama,Coffee,28.6285815143849,50.5599027279324,38.4813006216783,15.7831774234669,47872,76.3332755532443
1033,Alabama,Colbert,21.1468083932545,51.687294260441,35.5885760523751,18.4526546150027,43786,81.5290951373102
1035,Alabama,Conecuh,49.2793573285028,52.524218319288,35.6540915176813,20.2646294400252,27609,91.3374205267938
1037,Alabama,Coosa,34.9779086892489,50.7087628865979,31.0843151693667,18.6671575846834,31910,90.0594410016441
